PollingUnitID,State,LGA,Ward,ElectionYear,RegisteredVoters,PartyAVotes,PartyBVotes,PartyCVotes,TotalVotesCast,Turnout Percentage,AnomalyFlag,MergeKey,LGA.1,State.1,ElectionYear.1,IncidentCount,AvgSeverityScore,AnomalyIndicator
PU001,Lagos,Surulere,Ward A,2019,500,245,189,55,489,97.8,Normal,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,0
PU002,Lagos,Surulere,Ward A,2019,475,0,0,0,0,0,Zero Turnout,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,1
PU014,Lagos,Surulere,Ward A,2019,510,260,240,10,510,100,Perfect Turnout,Surulere-Lagos-2019,Surulere,Lagos,2019,14,3.785714286,1
PU004,Kano,Nassarawa,Ward B,2019,800,400,350,50,810,101.25,Over-voting,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,1
PU005,Kano,Nassarawa,Ward B,2019,750,380,320,40,740,98.67,Normal,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,0
PU013,Kano,Nassarawa,Ward B,2019,780,390,370,20,100,12.82,Suspicious Low,Nassarawa-Kano-2019,Nassarawa,Kano,2019,14,3.785714286,1
PU003,Lagos,Eti-Osa,Ward C,2019,600,310,200,90,600,100,Perfect Turnout,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,1
PU010,Lagos,Eti-Osa,Ward C,2019,550,270,230,0,500,90.91,Normal,Eti-Osa-Lagos-2019,Eti-Osa,Lagos,2019,12,2.416666667,0
PU007,Rivers,Port Harcourt,Ward D,2019,900,450,400,55,905,100.56,Over-voting,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,1
PU009,Rivers,Port Harcourt,Ward D,2019,700,350,300,30,680,97.14,Normal,Port Harcourt-Rivers-2019,Port Harcourt,Rivers,2019,13,4.307692308,0
PU011,Abuja,AMAC,Ward A,2019,1200,600,500,90,1190,99.17,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU016,Abuja,AMAC,Ward A,2019,1100,540,520,35,1095,99.55,Normal,AMAC-Abuja-2019,AMAC,Abuja,2019,12,2,0
PU012,Abuja,Bwari,Ward B,2019,950,480,420,45,945,99.47,Normal,Bwari-Abuja-2019,Bwari,Abuja,2019,12,3,0
PU006,Kano,Fagge,Ward A,2019,620,290,280,45,615,99.19,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
PU017,Kano,Fagge,Ward A,2019,640,300,310,25,635,99.22,Normal,Fagge-Kano-2019,Fagge,Kano,2019,12,3.833333333,0
